epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.902,0.0026886472377678538,0.01694530531862248,0.02007139529265911,0,0,0
0.904,0.0020327920784416298,0.016107757400016656,0.019234008811485966,0,0,0
0.906,0.004373092011388251,0.015705687060911463,0.017115569762069717,0,0,0
0.908,0.0037717811900411535,0.01430465214935476,0.0189545695865898,0,0,0
0.91,0.004803702570345514,0.014696888772168338,0.019717074334493996,0,0,0
0.912,0.00396474530830038,0.012935123104280346,0.01673686050022464,0,0,0
0.914,0.0036128294309626984,0.012189566615120917,0.017236205929908904,0,0,0
0.916,0.0030649972250942183,0.012229836699444207,0.01661445762699595,0,0,0
0.918,0.002186392492662086,0.013633530940336614,0.015540071677395845,0,0,0
0.92,0.0018071370240656849,0.012489706490148276,0.016108723130077874,0,0,0
0.922,0.0024576743325239727,0.012341999631858959,0.016072226749782415,0,0,0
0.924,0.0012604311193077748,0.013435744170197167,0.016595721558032593,0,0,0
0.926,0.0024182398060410234,0.013787040155798857,0.016733308955616873,0,0,0
0.928,0.002525875761914333,0.014918254825566437,0.017394124374943313,0,0,0
0.93,0.002094832785493582,0.01288115833163134,0.01619319837864068,0,0,0
0.932,0.00109296980521076,0.011487694937304923,0.012999585916854564,0,0,0
0.934,0.0013109794407986945,0.011617459496780442,0.016492640291926392,0,0,0
0.936,0.0017123054028399995,0.013285645410364411,0.014147244093576835,0,0,0
0.938,0.0008267826928776978,0.012592744990565738,0.01547675787167114,0,0,0
0.94,0.002395679415160361,0.012411009303495953,0.014665875604117685,0,0,0
0.942,0.0036363479305840823,0.012094110905428213,0.014510866942505848,0,0,0
0.944,0.003119672979726322,0.011589623953651707,0.016289180619217643,0,0,0
0.946,0.003104713902777642,0.010287410239999791,0.016240942392199365,0,0,0
0.948,0.002331733881100021,0.010289008679456316,0.014856861773286798,0,0,0
0.95,0.003210473447031828,0.011379777452969692,0.01630444672637129,0,0,0
0.952,0.0029768440562084587,0.009517741895658141,0.013985474203648405,0,0,0
0.954,0.0023299473529847263,0.009046323656797261,0.01342531394729006,0,0,0
0.956,0.0021841665448489324,0.011666945234675414,0.012742767778636466,0,0,0
0.958,0.0018052946379738019,0.010989245151281916,0.013849817877219072,0,0,0
