epsilon,train_sample_robustness_0masks,train_sample_robustness_10masks,train_sample_robustness_30masks,trivial_nb_0masks,trivial_nb_10masks,trivial_nb_30masks
0.902,0.059641127796683714,0.059641127796683714,0.059641127796683714,0,0,0
0.904,0.05824706886863675,0.05824706886863675,0.05824706886863675,0,0,0
0.906,0.05681557348600286,0.05681557348600286,0.05681557348600286,0,0,0
0.908,0.055421657984394156,0.055421657984394156,0.055421657984394156,0,0,0
0.91,0.053990019175322,0.053990019175322,0.053990019175322,0,0,0
0.912,0.05252100034053051,0.05252100034053051,0.05252100034053051,0,0,0
0.914,0.05108935449273162,0.05108935449273162,0.05108935449273162,0,0,0
0.916,0.049619915645859436,0.049619915645859436,0.049619915645859436,0,0,0
0.918,0.04818848373081987,0.04818848373081987,0.04818848373081987,0,0,0
0.92,0.04668152143179007,0.04668152143179007,0.04668152143179007,0,0,0
0.922,0.045174559132760285,0.045174559132760285,0.045174559132760285,0,0,0
0.924,0.04370539687153053,0.04370539687153053,0.04370539687153053,0,0,0
0.926,0.04219843457250074,0.04219843457250074,0.04219843457250074,0,0,0
0.928,0.04072941573770924,0.04072941573770924,0.04072941573770924,0,0,0
0.93,0.03918486651892753,0.03918486651892753,0.03918486651892753,0,0,0
0.932,0.03514973070704893,0.03514973070704893,0.03514973070704893,0,0,0
0.934,0.032729417456866694,0.032729417456866694,0.032729417456866694,0,0,0
0.936,0.03154002641392058,0.03154002641392058,0.03155071131615373,0,0,0
0.938,0.03027039435176878,0.03027039435176878,0.029778888849044133,0,0,0
0.94,0.02902766430713576,0.02902766430713576,0.029577376275943222,0,0,0
0.942,0.027747347342750805,0.027747347342750805,0.02822857944678117,0,0,0
0.944,0.026045121287367856,0.026045121287367856,0.02661142110572452,0,0,0
0.946,0.024850248606022734,0.024850248606022734,0.025320384304281095,0,0,0
0.948,0.023651120488524933,0.023651120488524933,0.024035776968918142,0,0,0
0.95,0.02234368647814521,0.02234368647814521,0.022642863740673255,0,0,0
0.952,0.021122024236008084,0.021122024236008084,0.020876271484645763,0,0,0
0.954,0.019722484381809846,0.019722484381809846,0.01977210320537897,0,0,0
0.956,0.018250371451729384,0.018250371451729384,0.018047591634248496,0,0,0
0.958,0.016775600588836363,0.016054674768308953,0.016939435206797315,0,0,0
0.96,0.015209302935199056,0.014561768231743705,0.015379408285604707,0,0,0
0.962,0.0136428618551235,0.013897769770200737,0.014497331513662077,0,0,0
0.964,0.012022314761125757,0.01271009421947246,0.014338007896096485,0,0,0
0.966,0.010326982174717246,0.011737713844292218,0.012484450058002392,0,0,0
0.968,0.008631649588308733,0.010165021702184727,0.012065245787018671,0,0,0
0.97,0.0068988005884693445,0.009333787857939408,0.010190104945686812,0,0,0
0.972,0.005203468002060832,0.009381082203223623,0.009171859051665118,0,0,0
0.974,0.0034327484581003556,0.006630649229704713,0.008872903630224773,0,0,0
0.976,0.0031280049673244616,0.006673502486905594,0.006850063845982815,0,0,0
0.978,0.0021080945197527227,0.006102023094215427,0.007406823474884519,0,0,0
0.98,0.0020192416727290692,0.004470072855555368,0.007158604476431694,0,0,0
0.981,0.0020707206140797322,0.004508151119989696,0.006690698009863108,0,0,0
0.982,0.001817076797518087,0.0038496328054973654,0.005597902996393563,0,0,0
0.983,0.002437008941326014,0.0038127395581179107,0.006427331197080161,0,0,0
0.984,0.001680025490955126,0.004380299122200105,0.006199262733950541,0,0,0
0.985,0.0011966294848412195,0.003587845561936181,0.006520494185579401,0,0,0
0.986,0.0007507173054161884,0.0033738047919489597,0.004915041376189332,0,0,0
0.987,0.0006115964370698808,0.0036511803352207743,0.0050485253451218095,0,0,0
0.988,0.0003654878788886068,0.0036497652814684207,0.004328735357840809,0,0,0
0.989,0.00026248799682532107,0.003184411609881433,0.004251669712647692,0,0,0
0.99,0.0009102996863617011,0.002508136740987825,0.004208482041920021,0,0,0
0.9902,0.0007818009199754066,0.0023652773283524683,0.004074106049776435,0,0,0
0.9904,0.0006426332916344869,0.0022454098255601327,0.003955845258371114,0,0,0
0.9906,0.0005677262449190315,0.002268781498439064,0.003569894682051788,0,0,0
0.9908,0.0006272137267643637,0.002194327380420478,0.0034646110602589235,0,0,0
0.991,0.0005676714935750814,0.002065857232263863,0.003351707689276083,0,0,0
0.9912,0.0004284528901303102,0.0019374430797076965,0.0034659580940716245,0,0,0
0.9914,0.00035347532571466256,0.0018089666701955741,0.0035402519717960905,0,0,0
0.9916,0.000556474001284811,0.0016911814242721035,0.0033131546248853145,0,0,0
0.9918,0.0004386939229311012,0.0019049927241588018,0.0031623077896641887,0,0,0
0.992,0.0004495948212017204,0.002151648038912975,0.003097608782035067,0,0,0
0.9922,0.0003318147428480106,0.002108657108621517,0.0026932181696958024,0,0,0
0.9924,0.000417365241459905,0.00247299632380365,0.0026558071126620863,0,0,0
0.9926,0.0004496416279926219,0.0025543718781451,0.0025272533126376095,0,0,0
0.9928,0.00041764375200678983,0.0024098301582443234,0.0026999427917615377,0,0,0
0.993,0.0002891736038501748,0.002302788255279394,0.20235593698370366,0,0,1
0.9932,0.00027839651168506713,0.001949229217597069,0.2021202307749228,0,0,1
0.9934,0.00016061643333135735,0.0018850414303803915,0.6010399767250799,0,0,3
0.9936,0.00020362398407822464,0.001966128317475654,0.6009913134237833,0,0,3
0.9938,0.00020362218700280488,0.002175021940860088,0.8004553215708594,0,0,4
0.994,0.00020875086930702874,0.0021642064183447175,0.800448765893792,0,0,4
0.9942,0.0002998441703455304,0.0020303258783022356,0.8004273960893258,0,0,4
0.9944,0.00028911051447698323,0.0019094292243726461,1.0,0,0,5
0.9946,0.00021418859175858395,0.0016146395319456192,1.0,0,0,5
0.9948,0.0002781566558443283,0.0016625607946330338,1.0,0,0,5
0.995,0.00046109374754475286,0.0013609917163366222,1.0,0,0,5
0.9952,0.00031618760567524585,0.001297172068769525,1.0,0,0,5
0.9954,0.0004282908498966254,0.0010661473017796587,1.0,0,0,5
0.9956,0.0002997920835103308,0.001201830440323606,1.0,0,0,5
0.9958,0.00037618656333894855,0.2009794197476233,1.0,0,1,5
0.996,0.00040267175599682504,0.20071350201258426,1.0,0,1,5
0.9962,0.0004665240876576689,0.20068930018688147,1.0,0,1,5
0.9964,0.00037520966545900094,0.2006671478269543,1.0,0,1,5
0.9966,0.00033743872821773467,0.6002630600424663,1.0,0,3,5
0.9968,0.00032683862687834343,0.6002630419448236,1.0,0,3,5
0.997,0.00043896080969997516,0.8001875820671543,1.0,0,4,5
0.9972,0.0002996941044244734,0.8001875820671543,1.0,0,4,5
0.9974,0.0003265623398989592,1.0,1.0,0,5,5
0.9976,0.0002686329400073502,1.0,1.0,0,5,5
0.9978,0.0005044658282352392,1.0,1.0,0,5,5
0.998,0.0003647880349807227,1.0,1.0,0,5,5
0.9982,0.0003429720250919263,1.0,1.0,0,5,5
0.9984,0.0003157897270694981,1.0,1.0,0,5,5
0.9986,0.0002516258652161451,1.0,1.0,0,5,5
0.9988,0.00013381151110990544,1.0,1.0,0,5,5
0.999,0.0002569426021831363,1.0,1.0,0,5,5
0.9992,0.00021951884217191877,1.0,1.0,0,5,5
0.9994,0.00012320475811305814,1.0,1.0,0,5,5
0.9996,0.0001236390686369896,1.0,1.0,0,5,5
0.9998,6.425196697802764e-05,1.0,1.0,0,5,5
